fidx,alpha,embedding,kernel_index,kernel_id,dilation,threshold,triplet_str,kernel_str
44,-1.60E-05,0.44780204,32,K32,2,-0.124850275,1|2|7,"[-1,2,2,-1,-1,-1,-1,2,-1]"
45,0.000171806,0.5207826,5,K05,32,0.107656557,0|1|7,"[2,2,-1,-1,-1,-1,-1,2,-1]"
46,-0.000169766,0.74314356,20,K20,192,-0.163896029,0|4|7,"[2,-1,-1,-1,2,-1,-1,2,-1]"
47,-0.00017981,0.45261487,43,K43,32,-0.112283804,1|5|6,"[-1,2,-1,-1,-1,2,2,-1,-1]"
48,0.000654031,0.5432577,36,K36,64,-0.609499789,1|3|6,"[-1,2,-1,2,-1,-1,2,-1,-1]"
49,0.002166962,0.28138325,56,K56,96,-0.215792168,2|4|7,"[-1,-1,2,-1,2,-1,-1,2,-1]"
50,0.000110634,0.5009728,76,K76,48,-0.275616708,4|5|8,"[-1,-1,-1,-1,2,2,-1,-1,2]"
51,-0.00015209,0.59613746,34,K34,128,-0.158287966,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
52,4.43E-05,0.480721,82,K82,64,0.126617459,5|7|8,"[-1,-1,-1,-1,-1,2,-1,2,2]"
53,5.79E-05,0.51071966,71,K71,32,-0.07278787,3|6|7,"[-1,-1,-1,2,-1,-1,2,2,-1]"
54,-0.001200124,0.000729474,27,K27,48,-0.0401463,0|7|8,"[2,-1,-1,-1,-1,-1,-1,2,2]"
55,4.78E-05,0.48577484,44,K44,192,0.020262247,1|5|7,"[-1,2,-1,-1,-1,2,-1,2,-1]"
56,5.13E-05,0.5809878,56,K56,64,0.242469566,2|4|7,"[-1,-1,2,-1,2,-1,-1,2,-1]"
57,-0.000120829,0.44553337,66,K66,128,0.260309167,3|4|7,"[-1,-1,-1,2,2,-1,-1,2,-1]"
58,8.07E-05,0.50762486,26,K26,16,0.099439789,0|6|8,"[2,-1,-1,-1,-1,-1,2,-1,2]"
59,0.000280429,0.59224653,47,K47,256,-0.062106357,1|6|8,"[-1,2,-1,-1,-1,-1,2,-1,2]"
60,-0.000370115,0.4252497,73,K73,8,0.215400227,3|7|8,"[-1,-1,-1,2,-1,-1,-1,2,2]"
61,0.000916828,0.6891129,49,K49,64,-0.072985205,2|3|4,"[-1,-1,2,2,2,-1,-1,-1,-1]"
62,-0.000120118,1.55E-10,82,K82,96,-0.044532305,5|7|8,"[-1,-1,-1,-1,-1,2,-1,2,2]"
63,-9.99E-05,0.47422466,34,K34,64,0.074785044,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
64,0.000114664,0.5589855,52,K52,128,-0.118608951,2|3|7,"[-1,-1,2,2,-1,-1,-1,2,-1]"
65,-8.75E-06,0.45154724,9,K09,2,-0.266275364,0|2|5,"[2,-1,2,-1,-1,2,-1,-1,-1]"
66,0.000300876,0.54696697,21,K21,4,-0.299657455,0|4|8,"[2,-1,-1,-1,2,-1,-1,-1,2]"
67,-0.000549909,0.9999975,59,K59,2,-0.07220744,2|5|7,"[-1,-1,2,-1,-1,2,-1,2,-1]"
68,-8.95E-05,0.44672891,3,K03,1,0.054674392,0|1|5,"[2,2,-1,-1,-1,2,-1,-1,-1]"
69,0.000902905,0.6257457,72,K72,192,0.159272447,3|6|8,"[-1,-1,-1,2,-1,-1,2,-1,2]"
70,-0.001683822,0.27749172,34,K34,2,-0.185551662,1|3|4,"[-1,2,-1,2,2,-1,-1,-1,-1]"
71,0.000179062,0.50045323,60,K60,48,0.057387904,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
72,-0.004165825,0.98366815,68,K68,64,0.013692881,3|5|6,"[-1,-1,-1,2,-1,2,2,-1,-1]"
73,-0.001546368,0.20778802,35,K35,128,-0.101094087,1|3|5,"[-1,2,-1,2,-1,2,-1,-1,-1]"
74,0.000917153,0.5765862,24,K24,16,0.621448301,0|5|8,"[2,-1,-1,-1,-1,2,-1,-1,2]"
75,-0.001610684,0.002378424,7,K07,96,-0.169180712,0|2|3,"[2,-1,2,2,-1,-1,-1,-1,-1]"
76,-0.000672759,0.40635732,9,K09,192,-0.191878187,0|2|5,"[2,-1,2,-1,-1,2,-1,-1,-1]"
77,0.001092119,0.56410193,15,K15,256,0.045699848,0|3|6,"[2,-1,-1,2,-1,-1,2,-1,-1]"
78,-0.001114147,0.3244212,0,K00,1,0.388988423,0|1|2,"[2,2,2,-1,-1,-1,-1,-1,-1]"
79,0.00068053,0.52853495,46,K46,8,-0.073939957,1|6|7,"[-1,2,-1,-1,-1,-1,2,2,-1]"
80,0.005361848,0.741489,51,K51,8,0.340199275,2|3|6,"[-1,-1,2,2,-1,-1,2,-1,-1]"
81,-0.000770975,0.29462087,55,K55,96,-0.229306607,2|4|6,"[-1,-1,2,-1,2,-1,2,-1,-1]"
82,0.004104602,0.6601114,57,K57,2,-0.078061432,2|4|8,"[-1,-1,2,-1,2,-1,-1,-1,2]"
83,-0.002810508,0.064219646,2,K02,96,-0.027838073,0|1|4,"[2,2,-1,-1,2,-1,-1,-1,-1]"
84,0.001050438,0.45981795,35,K35,64,-0.04269507,1|3|5,"[-1,2,-1,2,-1,2,-1,-1,-1]"
85,-0.003021646,0.7953455,79,K79,1,0.03296579,4|7|8,"[-1,-1,-1,-1,2,-1,-1,2,2]"
86,-0.000415646,0.0829165,46,K46,16,-0.002780075,1|6|7,"[-1,2,-1,-1,-1,-1,2,2,-1]"
87,-0.001038734,0.58389825,60,K60,96,-0.026044575,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
88,-0.000153598,1,17,K17,192,-0.215546083,0|3|8,"[2,-1,-1,2,-1,-1,-1,-1,2]"
89,0.000906347,0.45919582,60,K60,2,0.145943776,2|5|8,"[-1,-1,2,-1,-1,2,-1,-1,2]"
90,0.003021194,0.7953802,59,K59,4,0.039369243,2|5|7,"[-1,-1,2,-1,-1,2,-1,2,-1]"
91,0.004674899,0.28749955,83,K83,16,0.08887362,6|7|8,"[-1,-1,-1,-1,-1,-1,2,2,2]"
92,4.26E-05,0.504437,1,K01,48,0.317491285,0|1|3,"[2,2,-1,2,-1,-1,-1,-1,-1]"
93,-0.004926637,0.9511189,52,K52,4,0.155849786,2|3|7,"[-1,-1,2,2,-1,-1,-1,2,-1]"
94,0.001152127,0.3932947,64,K64,64,0.093093279,3|4|5,"[-1,-1,-1,2,2,2,-1,-1,-1]"
95,-0.002132512,0.83157504,41,K41,1,0.377568747,1|4|7,"[-1,2,-1,-1,2,-1,-1,2,-1]"
