0,1.960663111537043e-05
1,2.115020070865093e-05
2,2.105469538495609e-05
3,2.161652951281634e-05
4,2.150951069800121e-05
5,1.93435076934419e-05
6,1.634305588519462e-05
7,1.3322535409419009e-05
8,1.2958733876486453e-05
9,1.5719552694903377e-05
10,1.6744655897858745e-05
11,1.3526632488171096e-05
12,1.148459590943141e-05
13,9.706079199463282e-06
14,1.0638691684463471e-05
15,1.241408495188618e-05
16,7.906282816074222e-06
17,5.7448398217080424e-06
18,4.491310171421395e-06
19,7.187290884261655e-06
20,1.0926564349114634e-05
21,9.99406976424752e-06
22,8.946647390956075e-06
23,7.279303233403307e-06
24,7.905828692547505e-06
25,8.72155060774616e-06
26,6.56085456651098e-06
27,5.818339400062755e-06
28,6.2811306535819565e-06
29,6.2632366611330125e-06
30,5.2348599178875955e-06
31,4.62524575684693e-06
32,6.330393318517929e-06
33,8.686309821869931e-06
34,1.2131246214817e-05
35,1.0743334629609418e-05
36,1.3218211646847249e-05
37,1.6862893714354992e-05
38,1.524115491559854e-05
39,1.7585031352148476e-05
40,1.5438540692124442e-05
41,1.3245580713156733e-05
42,1.4985821560648693e-05
43,1.9548277614433544e-05
44,2.074491302989757e-05
45,1.992157179693743e-05
46,1.9833868639737106e-05
47,1.925286282698601e-05
48,2.0873090996523418e-05
49,1.9739605998616395e-05
50,1.8836928520693164e-05
51,2.0763648433554695e-05
52,2.0833872316124643e-05
53,2.1409722661252492e-05
54,2.1959532544428526e-05
55,2.2132252343017847e-05
56,1.8128494457082924e-05
57,1.742160991457264e-05
58,1.666384945318673e-05
59,1.4573299847844056e-05
60,1.2634714116148288e-05
61,1.0862694537022259e-05
62,7.5657178825866285e-06
63,1.2923409682843707e-05
64,9.684963521787261e-06
65,9.45013847617094e-06
66,8.564095657167783e-06
67,8.199529921668946e-06
68,1.1198970525951888e-05
69,1.4334935706437121e-05
70,1.4180063486724661e-05
71,1.027379477262147e-05
72,9.992690650562162e-06
73,6.191960777236643e-06
74,7.01898993834046e-06
75,5.51222812190025e-06
76,5.129609846916663e-06
77,3.6989333715568516e-06
78,3.656871336540754e-06
79,4.335983829056169e-06
80,3.7162156193088097e-06
81,9.9891282155237e-06
82,1.2364125493885387e-05
83,1.2172673746109608e-05
84,1.1252629951597083e-05
85,1.1579354889343887e-05
86,1.2268205665862667e-05
87,1.264711658177824e-05
88,1.4660615781876816e-05
89,1.5401562867722216e-05
90,1.5292457963117863e-05
91,1.6312804342831288e-05
92,1.6101930193640715e-05
93,1.5764239598467165e-05
94,1.344241623830895e-05
95,1.0713468815369366e-05
96,1.3249728564089443e-05
97,1.3197766806979274e-05
98,1.1763542574262693e-05
99,1.346475700832769e-05
100,1.3719519375262494e-05
101,1.1724041980087243e-05
102,1.266577231836414e-05
103,1.4669800670252478e-05
104,1.110358846658119e-05
105,1.2322306526881482e-05
106,1.386305624109846e-05
107,1.6358544165171882e-05
108,1.429987467837142e-05
109,1.3765140259963525e-05
110,9.826146429011842e-06
111,9.38201552189163e-06
112,7.372667611982506e-06
113,9.158735976568793e-06
114,8.048883078066377e-06
115,1.118380216417861e-05
116,1.2319875582889875e-05
117,1.4044836433614836e-05
118,1.4959875247085166e-05
119,1.3857140076104808e-05
120,1.3567373618340692e-05
121,1.3951878639038148e-05
122,1.4215232904826058e-05
123,1.2824629637237482e-05
124,1.2897121955427648e-05
125,1.584869106511343e-05
126,1.6218143091338033e-05
127,1.6996582296193015e-05
128,1.3189699402428078e-05
129,1.4417756782619641e-05
130,1.6410636196014886e-05
131,1.7578749799651106e-05
132,1.8278872481867613e-05
133,1.5822876648285755e-05
134,1.7550389515369208e-05
135,1.7300364944906686e-05
136,1.703262132001375e-05
137,1.4641649520109246e-05
138,1.1230424015960909e-05
139,1.330281860769579e-05
140,1.2218319720487727e-05
141,1.453973121098832e-05
142,1.5257958478843289e-05
143,1.744150365508772e-05
144,2.0829155193407425e-05
145,1.913220534017676e-05
146,2.1014854853049333e-05
147,2.0946235899723328e-05
148,1.9001231024481704e-05
149,1.9525263116537666e-05
150,2.0704634478995988e-05
151,2.0354637212237276e-05
152,1.6522681239858357e-05
153,1.4057003563293733e-05
154,1.2261814884124752e-05
155,9.502198235072763e-06
156,8.063312009911904e-06
157,6.569329834744136e-06
158,3.30880510017141e-06
159,3.664952263290192e-06
160,8.81502649729888e-07
161,-6.839669651268198e-07
162,3.8374270902578585e-07
163,1.2454956907634081e-06
164,2.3908016006130066e-06
165,1.206165254868062e-06
166,3.3018706474630636e-06
167,5.6204294362878905e-06
168,5.9016078549307675e-06
169,5.059547226853873e-06
170,6.066524037554951e-06
171,7.252065206836727e-06
172,1.0768506537435697e-05
173,7.623611866540425e-06
174,6.949726279258478e-06
175,6.687509396075242e-06
176,6.962595817210648e-06
177,1.0944754456615783e-05
178,1.158940528305697e-05
179,1.1687190204122358e-05
180,1.595402143566989e-05
181,1.7402315050127093e-05
182,1.8122458350096857e-05
183,1.4795267010164375e-05
184,1.1967848576687199e-05
185,1.5217625505933159e-05
186,1.729315965940321e-05
187,1.7615070629454054e-05
188,2.0553281983498615e-05
189,1.9273562242316123e-05
190,1.6539577208425454e-05
191,2.0296691325741543e-05
192,1.8704325235523855e-05
193,1.3746490893899589e-05
194,1.3351534182398471e-05
195,1.063315823773804e-05
196,1.126106275986074e-05
197,9.629261515498503e-06
198,9.684345122396264e-06
199,9.29643257846804e-06
200,7.102551813592737e-06
201,8.262234311400267e-06
202,8.524148974877141e-06
203,1.030999372330159e-05
204,9.30959458196523e-06
205,7.215026880317505e-06
206,4.184522297454159e-06
207,3.0555329734571474e-06
208,2.4785319978809426e-06
209,7.297405891052375e-06
210,7.400296488794989e-06
211,1.4139034078119093e-05
212,1.4910409483390602e-05
213,1.394514995359094e-05
214,1.60133404712641e-05
215,1.6485494771910066e-05
216,9.198868721410761e-06
217,1.015295254444012e-05
218,1.1598266621765174e-05
219,1.1484747799407841e-05
220,1.0472540537189311e-05
221,1.1557006073353236e-05
222,1.1316989451093278e-05
223,7.367802556601012e-06
224,4.8205378194121755e-06
225,2.5256594770361913e-06
226,7.886941489364999e-06
227,9.743326105383677e-06
228,1.1758841368860575e-05
229,1.3805650896487857e-05
230,1.3217505850622667e-05
231,1.0605538473202248e-05
